      genre        |        track        |                      artist                     
-------------------+---------------------+-------------------------------------------------
Alternative        | Hunger Strike       | Temple of the Dog
Alternative & Punk | A Sua               | Raimundos
Blues              | Let It Grow         | Eric Clapton
Bossa Nova         | Formosa             | Toquinho & Vinícius
Classical          | Wellington's Vi…    | Antal Doráti & London Symphony Orchestra
Comedy             | Traveling Sales…    | The Office
Drama              | Live Together, …    | Lost
Easy Listening     | Fly Me To The M…    | Frank Sinatra
Electronica/Dance  | Journey To Arnh…    | Jamiroquai
Heavy Metal        | Wrathchild          | Iron Maiden
Hip Hop/Rap        | Guess Who's Bac…    | House Of Pain
Jazz               | Journey Into Su…    | Incognito
Latin              | Sina                | Djavan
Metal              | Looks That Kill     | Mötley Crüe
Opera              | Die Zauberflöte…    | Sir Georg Solti, Sumi Jo & Wiener Philharmoniker
Pop                | Help Yourself       | Amy Winehouse
R&B/Soul           | I'm Real            | James Brown
Reggae             | Here I Am (Come…    | UB40
Rock               | Jeremy              | Pearl Jam
Rock And Roll      | Bad Boy             | BackBeat
Sci Fi & Fantasy   | Lost Planet of …    | Battlestar Galactica (Classic)
Science Fiction    | Unfinished Busi…    | Battlestar Galactica
Soundtrack         | Koyaanisqatsi       | Philip Glass Ensemble
TV Shows           | The Coup            | The Office
World              | Din Din Wo (Lit…    | Habib Koité and Bamada
