      genre        |        track        |                          artist                         
-------------------+---------------------+---------------------------------------------------------
Alternative        | Hunger Strike       | Temple of the Dog
Alternative        | Reach Down          | Temple of the Dog
Alternative        | Say Hello 2 Hea…    | Temple of the Dog
Alternative & Punk | Body Count's In…    | Body Count
Alternative & Punk | Now Sports          | Body Count
Alternative & Punk | Smoked Pork         | Body Count
Blues              | Badge               | Eric Clapton
Blues              | I Feel Free         | Eric Clapton
Blues              | Layla               | Eric Clapton
Bossa Nova         | Onde Anda Você      | Toquinho & Vinícius
Bossa Nova         | Pot-Pourri N.º …    | Toquinho & Vinícius
Bossa Nova         | Samba Da Bênção     | Toquinho & Vinícius
Classical          | Aria Mit 30 Ver…    | Wilhelm Kempff
Classical          | Intoitus: Adora…    | Alberto Turco & Nova Schola Gregoriana
Classical          | Miserere mei, D…    | Richard Marlow & The Choir of Trinity College, Cambridge
Comedy             | A Benihana Chri…    | The Office
Comedy             | Back from Vacat…    | The Office
Comedy             | The Convict         | The Office
Drama              | Collision           | Heroes
Drama              | Don't Look Back     | Heroes
Drama              | One Giant Leap      | Heroes
Easy Listening     | My Way              | Frank Sinatra
Easy Listening     | New York, New Y…    | Frank Sinatra
Easy Listening     | Strangers In Th…    | Frank Sinatra
Electronica/Dance  | Half The Man        | Jamiroquai
Electronica/Dance  | Just Another St…    | Jamiroquai
Electronica/Dance  | Stillness In Ti…    | Jamiroquai
Heavy Metal        | Killers             | Iron Maiden
Heavy Metal        | Wrathchild          | Iron Maiden
Heavy Metal        | Wildest Dreams      | Iron Maiden
Hip Hop/Rap        | Hip Hop Rio         | Planet Hemp
Hip Hop/Rap        | Queimando Tudo      | Planet Hemp
Hip Hop/Rap        | ZeroVinteUm         | Planet Hemp
Jazz               | De La Luz           | Spyro Gyra
Jazz               | Heart of the Ni…    | Spyro Gyra
Jazz               | Westwood Moon       | Spyro Gyra
Latin              | A Luz De Tieta      | Caetano Veloso
Latin              | Odara               | Caetano Veloso
Latin              | Sozinho             | Caetano Veloso
Metal              | Enter Sandman       | Metallica
Metal              | Looks That Kill     | Mötley Crüe
Metal              | Enter Sandman       | Apocalyptica
Opera              | Die Zauberflöte…    | Sir Georg Solti, Sumi Jo & Wiener Philharmoniker
Pop                | Dig-Dig, Lambe-…    | Various Artists
Pop                | Pererê              | Various Artists
Pop                | TriboTchan          | Various Artists
R&B/Soul           | Night Train         | James Brown
R&B/Soul           | Please Please P…    | James Brown
R&B/Soul           | Think               | James Brown
Reggae             | A Sombra Da Mal…    | Cidade Negra
Reggae             | O Erê               | Cidade Negra
Reggae             | Onde Você Mora?     | Cidade Negra
Rock               | Fast As a Shark     | Accept
Rock               | Princess of the…    | Accept
Rock               | Restless and Wi…    | Accept
Rock And Roll      | Bad Boy             | BackBeat
Rock And Roll      | Long Tall Sally     | BackBeat
Rock And Roll      | Money               | BackBeat
Science Fiction    | A Measure of Sa…    | Battlestar Galactica
Science Fiction    | Battlestar Gala…    | Battlestar Galactica
Science Fiction    | Hero                | Battlestar Galactica
Sci Fi & Fantasy   | Battlestar Gala…    | Battlestar Galactica (Classic)
Sci Fi & Fantasy   | Crossroads, Pt.…    | Battlestar Galactica
Sci Fi & Fantasy   | Crossroads, Pt.…    | Battlestar Galactica
Soundtrack         | Koyaanisqatsi       | Philip Glass Ensemble
Soundtrack         | Slug                | Passengers
Soundtrack         | United Colours      | Passengers
TV Shows           | Exodus, Pt. 1       | Battlestar Galactica
TV Shows           | Exodus, Pt. 2       | Battlestar Galactica
TV Shows           | Occupation / Pr…    | Battlestar Galactica
World              | Din Din Wo (Lit…    | Habib Koité and Bamada
World              | I Ka Barra (You…    | Habib Koité and Bamada
World              | Pura Elegancia      | João Suplicy
