Currency units per SDR for May 2017
Currency	May 01, 2017	May 02, 2017	May 03, 2017	May 04, 2017	May 05, 2017	May 08, 2017	May 09, 2017	May 10, 2017	May 11, 2017	May 12, 2017	May 15, 2017
Chinese Yuan	NA	9.445190	9.439220	9.440640	9.455820	9.460380	9.439480	9.430310	9.425960	9.426670	9.452780
Euro	NA	1.254600	1.254030	1.252780	1.250510	1.252880	1.255280	1.255300	1.257320	1.255530	1.248960
Japanese Yen	152.624000	153.373000	NA	NA	NA	154.512000	155.126000	155.521000	155.866000	155.505000	155.399000
U.K. Pound Sterling	NA	1.059580	1.059320	1.062330	1.059670	1.057410	1.057410	1.055080	1.058940	1.062240	1.060000
U.S. Dollar	1.369440	1.369400	1.369270	1.368920	1.370690	1.370400	1.366750	1.366020	1.365450	1.365510	1.370360
Algerian Dinar	NA	149.740000	149.575000	149.530000	149.691000	149.752000	149.655000	149.627000	149.755000	149.592000	149.551000
Australian Dollar	1.829340	1.816420	1.825690	1.847890	1.858300	1.848140	1.859020	1.854490	1.857250	1.849040	1.852100
Bahrain Dinar	0.514909	0.514893	0.514846	0.514713	0.515379	0.515270	0.513898	0.513621	0.513410	0.513434	0.515257
Botswana Pula	NA	14.264600	14.293000	14.364300	14.398000	14.379800	14.432400	14.333900	14.283000	14.253800	14.200700
Brazilian Real	4.379200	4.379070	4.343050	4.309770	4.355210	4.352100	4.364320	4.350890	4.314830	4.308600	4.287040
Brunei Dollar	NA	1.909080	1.908490	1.912380	1.921020	1.923630	1.922610	NA	1.926930	1.924150	1.922900
Canadian Dollar	NA	1.878810	1.877820	NA	1.879480	1.878130	1.876270	1.867620	1.871630	1.872670	1.869310
Chilean Peso	911.245000	913.317000	913.234000	915.776000	923.694000	924.855000	924.360000	927.592000	918.839000	917.011000	919.557000
Colombian Peso	4,036.910000	4,036.780000	4,033.230000	4,011.170000	4,067.420000	4,058.820000	4,044.570000	4,053.290000	4,027.190000	4,006.310000	3,999.660000
Czech Koruna	NA	33.740600	33.693600	33.537100	33.490000	NA	33.481300	33.448300	33.446700	33.366400	33.058600
Danish Krone	NA	9.330530	9.326360	9.316280	9.299990	9.319840	9.338720	9.340560	9.354540	NA	9.291610
Hungarian Forint	NA	391.621000	391.693000	391.469000	390.427000	390.125000	390.755000	391.050000	389.823000	389.964000	387.648000
Icelandic Krona	NA	145.211000	145.403000	145.502000	145.402000	145.522000	145.040000	145.139000	144.342000	143.119000	141.504000
Indian Rupee	NA	87.925200	87.830200	87.900500	88.146100	88.000300	88.164000	NA	87.987100	87.808600	87.865700
Indonesian Rupiah	NA	18,234.900000	18,207.200000	18,247.700000	18,283.600000	18,259.200000	18,201.000000	18,243.100000	NA	18,216.000000	18,251.900000
Iranian Rial	44,426.100000	44,423.300000	44,417.800000	44,411.900000	NA	44,461.200000	44,345.700000	44,325.800000	44,310.300000	NA	44,467.000000
Israeli New Sheqel	NA	NA	4.947160	4.950000	4.948170	4.938910	4.924410	4.924480	4.929290	4.929510	4.930580
