Currency units per SDR for May 2017 Continued
Currency	May 16, 2017	May 17, 2017	May 18, 2017	May 19, 2017	May 22, 2017	May 23, 2017	May 24, 2017	May 25, 2017	May 26, 2017	May 30, 2017	May 31, 2017
Chinese Yuan	9.466470	9.488570	9.517280	9.515200	9.531070	9.532250	9.515470	9.496770	9.486860	NA	9.453400
Euro	1.241760	1.238960	1.240740	1.234990	1.230290	1.233520	1.233820	1.232820	1.235730	1.235650	1.233690
Japanese Yen	155.851000	155.159000	153.312000	153.771000	154.201000	153.668000	154.397000	154.341000	154.346000	153.039000	153.590000
U.K. Pound Sterling	1.065200	1.061790	1.059350	1.061590	1.064180	1.066860	1.065430	1.066730	1.076340	1.073100	1.078260
U.S. Dollar	1.373260	1.377350	1.380810	1.380600	1.383220	1.383400	1.381010	1.382490	1.383530	1.380590	1.384320
Algerian Dinar	149.605000	149.776000	150.067000	149.825000	149.893000	149.946000	149.866000	149.881000	150.186000	149.861000	150.099000
Australian Dollar	1.850010	1.853770	1.851700	1.859140	1.858170	1.845270	1.853710	1.840860	1.860830	1.856130	1.858150
Bahrain Dinar	0.516345	0.517882	0.519187	0.519106	0.520091	0.520156	0.519259	0.519815	0.520207	0.519103	0.520505
Botswana Pula	14.186600	14.214100	14.428600	14.291900	14.245300	14.217800	14.135200	NA	14.103200	14.232900	14.242000
Brazilian Real	4.257800	4.258490	4.290190	4.660350	4.546920	4.545410	4.508730	4.510090	4.540460	4.514960	4.520220
Brunei Dollar	1.919960	1.919610	1.919610	1.922350	1.918660	1.920570	1.920160	1.912810	1.917290	1.915440	1.916870
Canadian Dollar	1.867090	1.875120	1.879430	1.869890	NA	1.866200	1.858840	1.859860	1.861670	1.859520	1.868830
Chilean Peso	917.381000	917.675000	923.242000	933.010000	927.171000	924.402000	928.591000	932.175000	926.157000	930.544000	934.842000
Colombian Peso	3,960.300000	3,957.430000	3,995.250000	4,048.140000	3,996.740000	4,005.090000	4,011.300000	4,016.530000	4,028.360000	4,022.320000	4,042.810000
Czech Koruna	32.804400	32.750600	33.038700	32.734100	32.584400	32.668800	32.649900	32.560400	32.659600	32.706200	32.593800
Danish Krone	9.237960	9.218200	9.232840	9.189660	9.157340	9.182310	9.181470	NA	NA	9.192780	9.178350
Hungarian Forint	383.923000	385.149000	384.654000	382.826000	382.155000	379.798000	381.545000	378.844000	378.796000	381.762000	381.269000
Icelandic Krona	140.951000	140.435000	140.028000	138.806000	137.907000	138.160000	138.653000	NA	138.712000	137.562000	137.435000
Indian Rupee	87.992500	88.179500	88.847000	89.726300	89.304900	89.609700	89.570400	89.183000	89.367900	89.233100	89.351900
Indonesian Rupiah	18,261.600000	18,327.000000	18,424.200000	18,513.900000	18,392.600000	18,393.600000	18,389.500000	NA	18,394.000000	18,411.600000	18,440.500000
Iranian Rial	44,558.100000	44,686.700000	44,796.400000	NA	44,875.600000	44,877.300000	44,805.500000	44,850.700000	NA	44,803.100000	44,921.200000
Israeli New Sheqel	4.951970	4.962580	4.977850	4.960490	4.954690	4.965000	4.961970	4.943790	4.944720	4.916300	NA
Kazakhstani Tenge	428.511000	431.358000	432.940000	431.507000	429.766000	430.000000	429.769000	429.360000	431.094000	429.682000	432.268000
Korean Won	1,545.470000	1,539.460000	1,544.300000	1,553.450000	1,559.580000	1,545.390000	1,547.560000	1,557.510000	1,546.780000	1,546.400000	1,555.840000
