Currency units per SDR for June 2017 Continued
Currency	June 16, 2017	June 19, 2017	June 20, 2017	June 21, 2017	June 22, 2017	June 23, 2017	June 26, 2017	June 27, 2017	June 28, 2017	June 29, 2017	June 30, 2017
Chinese Yuan	9.406540	9.425340	9.417530	9.414870	9.419660	9.436010	9.431740	9.444830	9.434320	9.426940	9.436370
Euro	1.236570	1.234470	1.235590	1.236860	1.234660	1.234700	1.232960	1.226560	1.219840	1.218460	1.219230
Japanese Yen	153.388000	153.511000	153.956000	153.549000	153.275000	153.624000	153.532000	154.862000	155.546000	156.153000	155.752000
U.K. Pound Sterling	1.080760	1.079900	1.087940	1.087190	1.088350	1.083000	1.082660	1.084950	1.081880	1.072520	1.072070
U.S. Dollar	1.380880	1.382490	1.378420	1.378720	1.379000	1.379530	1.379310	1.383320	1.387570	1.390630	1.391390
Algerian Dinar	149.998000	150.106000	149.910000	149.989000	149.787000	149.924000	149.755000	149.764000	150.265000	150.074000	150.129000
Australian Dollar	1.818620	1.815720	1.810860	1.822990	1.824550	1.825500	1.820160	1.820390	1.823110	1.814960	1.808880
Bahrain Dinar	0.519211	0.519815	0.518288	0.518401	0.518503	0.518702	0.518621	0.520126	0.521725	0.522876	0.523163
Botswana Pula	14.090600	14.193900	14.195900	14.169800	14.172600	14.120000	14.089000	14.144400	14.173300	14.219100	14.256000
Brazilian Real	4.533440	4.546450	4.544520	4.568960	4.583920	4.601550	4.598080	4.581820	4.602020	4.592400	4.584060
Brunei Dollar	1.912660	1.910180	1.911460	1.915320	1.916670	1.916720	NA	1.918660	1.923450	1.920170	1.916360
Canadian Dollar	1.827180	1.827650	1.828750	1.835080	1.825930	1.830360	1.825940	1.824320	1.812170	1.809900	1.805600
Chilean Peso	918.603000	917.600000	913.167000	915.139000	916.397000	916.011000	NA	915.365000	918.695000	921.099000	922.782000
Colombian Peso	4,078.890000	NA	4,082.450000	4,176.880000	4,211.320000	4,188.010000	NA	4,164.720000	4,197.780000	4,204.750000	4,227.400000
Czech Koruna	32.436900	32.307300	32.486600	32.489700	32.436800	32.460400	32.354600	32.217400	32.109700	32.028900	31.935100
Danish Krone	9.195320	9.180970	9.190080	9.202600	9.184420	9.182740	9.168840	9.120340	9.071530	9.061340	9.067010
Hungarian Forint	380.364000	379.547000	380.555000	382.941000	381.761000	381.854000	381.366000	380.150000	378.501000	377.388000	376.885000
Icelandic Krona	139.386000	140.129000	141.881000	144.752000	144.933000	143.319000	142.856000	145.276000	144.474000	142.720000	143.786000
Indian Rupee	89.188600	89.002800	88.862800	89.069400	88.938700	89.029800	NA	89.164700	89.538300	89.655500	90.075500
Indonesian Rupiah	18,363.000000	18,367.700000	18,328.900000	18,338.400000	18,366.900000	NA	NA	NA	NA	NA	18,531.900000
Iranian Rial	NA	44,886.500000	44,774.000000	44,801.700000	44,807.700000	NA	NA	NA	45,082.200000	45,180.000000	NA
Israeli New Sheqel	4.870370	4.866350	4.869970	4.884820	4.885790	4.884910	4.877260	4.866510	4.885630	4.853290	4.864290
Kazakhstani Tenge	441.468000	441.788000	443.467000	449.851000	451.800000	450.940000	448.278000	445.442000	448.364000	447.031000	448.402000
Korean Won	1,550.450000	1,566.350000	1,559.550000	1,567.610000	1,575.090000	1,573.770000	1,572.560000	1,570.340000	1,576.830000	1,587.680000	1,585.630000
Kuwaiti Dinar	0.418752	0.419516	0.418557	0.418787	0.418732	0.418894	NA	NA	0.420711	0.421360	NA
Libyan Dinar	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400
Malaysian Ringgit	5.908110	5.902530	5.903080	5.911980	5.910380	5.916810	NA	NA	5.963060	5.974110	5.974610
Mauritian Rupee	NA	48.064400	47.898700	47.915700	47.889100	47.936800	NA	48.099800	48.122500	48.087100	47.955900
Mexican Peso	24.762100	24.818300	24.972500	25.033500	24.997100	24.817700	24.658700	24.880600	24.833700	25.070100	25.132100
Nepalese Rupee	142.355000	142.534000	142.005000	142.202000	142.464000	142.450000	142.400000	142.814000	143.114000	143.777000	143.647000
New Zealand Dollar	1.914960	1.895630	1.905740	1.906950	1.903110	1.900700	1.894920	1.897810	1.904950	1.897170	1.899250
Norwegian Krone	11.699800	11.668000	11.729400	11.769600	11.711400	11.681800	11.686900	11.676900	11.712900	11.660700	11.669600
Rial Omani	0.530949	0.531564	0.530003	0.530119	0.530226	0.530428	0.530346	0.531887	0.533521	0.534696	0.534988
Pakistani Rupee	144.840000	145.003000	144.601000	144.617000	144.650000	144.702000	NA	NA	NA	145.861000	145.937000
Nuevo Sol	4.521000	4.513820	4.512960	4.507040	4.505170	4.489000	4.482780	4.501320	4.510990	NA	NA
Philippine Peso	68.388200	68.917000	68.726600	69.024500	69.279400	69.427600	NA	69.600100	69.741800	70.139000	70.217800
Polish Zloty	5.212680	5.200210	5.218990	5.251550	5.240460	5.217930	5.193540	5.179410	5.168550	5.162280	5.156770
Qatar Riyal	5.026410	5.032260	5.017460	5.018570	5.019550	5.021490	5.020710	5.035270	5.050760	5.061880	5.064650
Russian Ruble	79.733400	80.126900	80.746100	82.723200	82.944200	82.297800	81.381500	81.455800	82.618000	82.165900	82.628900
Saudi Arabian Riyal	5.178320	5.184330	5.169080	5.170230	5.171250	5.173230	5.172420	5.187450	5.203370	5.214850	5.217710
Singapore Dollar	1.912660	1.910180	1.911460	1.915320	1.916670	1.916720	NA	1.918660	1.923450	1.920170	1.916360
South African Rand	NA	17.973400	18.044900	17.971200	17.969000	17.823200	17.760300	17.886400	18.007400	18.062100	18.174900
