Currency units per SDR for July 2017
Currency	July 03, 2017	July 05, 2017	July 06, 2017	July 07, 2017	July 10, 2017	July 11, 2017	July 12, 2017	July 13, 2017	July 14, 2017	July 17, 2017	July 18, 2017
Chinese Yuan	9.427110	9.418150	9.444390	9.443320	9.437520	9.436540	9.440200	9.420540	9.429340	9.445010	9.450550
Euro	1.221550	1.222990	1.219210	1.216990	1.218340	1.216730	1.214580	1.216880	1.218110	1.216340	1.210190
Japanese Yen	156.279000	156.661000	156.921000	158.021000	158.294000	158.445000	157.788000	157.243000	157.819000	NA	156.898000
U.K. Pound Sterling	1.072000	1.073340	1.071290	1.077200	1.077450	1.075300	1.081400	1.075030	1.072110	1.067020	1.073650
U.S. Dollar	1.388780	1.385530	1.388070	1.388830	1.387320	1.387680	1.390570	1.389320	1.390470	1.394170	1.398380
Algerian Dinar	NA	149.937000	150.313000	150.227000	150.218000	151.586000	152.149000	152.094000	152.039000	152.150000	152.408000
Australian Dollar	NA	1.818520	1.827120	1.831020	1.823510	1.823020	1.817030	1.803140	1.795550	1.784650	1.769200
Bahrain Dinar	NA	0.520958	0.521912	0.522199	0.521635	0.521768	0.522854	0.522384	0.522818	0.524205	0.525790
Botswana Pula	NA	14.372700	14.399000	14.392000	14.376400	14.455000	14.350600	14.293400	14.188500	NA	NA
Brazilian Real	NA	4.578340	4.606580	4.591200	4.562770	4.529950	4.521570	4.481650	4.463690	4.446420	4.448930
Brunei Dollar	NA	1.913000	1.917480	1.919640	1.917560	1.920690	1.919540	1.912950	1.912730	1.910150	1.913120
Canadian Dollar	NA	1.798690	1.796990	1.789780	1.787980	1.792880	1.779090	1.770410	1.762010	1.766270	1.765870
Chilean Peso	NA	919.101000	924.368000	925.266000	924.804000	924.932000	926.939000	921.752000	918.695000	917.608000	918.619000
Colombian Peso	NA	4,226.450000	4,259.870000	4,283.410000	4,290.500000	4,256.480000	4,265.880000	4,240.610000	4,232.030000	4,209.760000	4,237.930000
Czech Koruna	NA	NA	NA	31.737600	31.793300	31.787600	31.710500	31.784800	31.761200	31.734000	31.561400
Danish Krone	NA	9.095290	9.067090	9.050840	9.060350	9.048220	9.032690	9.049610	9.058550	9.045350	9.000410
Hungarian Forint	NA	376.309000	377.832000	374.901000	374.814000	375.298000	373.341000	374.477000	373.647000	372.702000	372.067000
Icelandic Krona	NA	144.039000	145.317000	144.369000	145.281000	147.136000	150.307000	144.683000	146.208000	144.017000	143.767000
Indian Rupee	NA	89.672400	89.915900	89.904600	89.538300	89.508700	89.687700	89.525500	89.621000	89.737600	89.958000
Indonesian Rupiah	NA	18,495.400000	18,550.100000	18,606.100000	18,601.300000	18,576.900000	18,589.100000	18,536.300000	18,558.600000	18,560.500000	18,618.000000
Iranian Rial	NA	45,092.000000	45,195.500000	NA	45,186.500000	45,217.600000	45,325.600000	45,304.200000	NA	45,502.700000	45,655.600000
Israeli New Sheqel	NA	4.879830	4.899870	4.899800	4.920850	4.962340	4.942080	4.909860	4.919490	4.942320	4.985220
Kazakhstani Tenge	NA	448.827000	449.650000	449.897000	452.878000	454.048000	456.830000	455.085000	454.296000	453.968000	455.745000
Korean Won	NA	1,592.390000	1,595.300000	1,602.010000	1,603.470000	1,595.690000	1,599.290000	1,591.600000	1,581.660000	1,583.770000	1,577.650000
Kuwaiti Dinar	NA	0.420161	0.420930	0.421163	0.420705	0.420813	0.421342	0.420964	0.421313	0.422153	0.423150
Libyan Dinar	NA	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400	1.932400
Malaysian Ringgit	NA	5.953620	5.966590	5.969860	5.964810	5.962180	5.973180	5.958090	5.972790	5.983760	5.995560
