Currency units per SDR for July 2017 Continued
Currency	July 19, 2017	July 20, 2017	July 21, 2017	July 24, 2017	July 25, 2017	July 26, 2017	July 27, 2017	July 28, 2017	July 31, 2017
Chinese Yuan	9.440550	9.438150	9.486230	9.475440	9.469520	9.472660	9.470680	9.476970	9.469250
Euro	1.211510	1.214570	1.204120	1.204800	1.199450	1.204100	1.202360	1.198350	1.200430
Japanese Yen	156.560000	156.010000	156.935000	155.618000	156.114000	156.889000	155.930000	156.071000	155.627000
U.K. Pound Sterling	1.070590	1.077960	1.078000	1.076770	1.076300	1.074040	1.069440	1.074080	1.072650
U.S. Dollar	1.397230	1.394940	1.401830	1.403350	1.402640	1.402050	1.406040	1.405540	1.407750
Algerian Dinar	152.338000	152.258000	152.647000	152.799000	152.584000	152.560000	152.651000	152.576000	152.650000
Australian Dollar	1.760850	1.760400	1.772000	1.769900	1.766550	1.776990	1.747510	1.763540	1.762550
Bahrain Dinar	0.525359	0.524497	0.527090	0.527660	0.527393	0.527170	0.528673	0.528483	0.529313
Botswana Pula	14.199500	14.190600	14.203000	14.232800	14.269000	14.277500	14.260100	14.269400	14.364800
Brazilian Real	4.423920	4.397830	4.401200	4.385480	4.411720	4.423470	4.450260	4.428440	4.427500
Brunei Dollar	1.910990	1.910790	1.914620	1.911230	1.909560	1.911550	1.905610	1.912660	1.911580
Canadian Dollar	1.759810	1.755530	1.759160	1.755880	NA	1.753260	1.760370	1.749480	1.757570
Chilean Peso	916.599000	911.885000	913.375000	914.737000	912.625000	909.604000	912.167000	910.780000	917.263000
Colombian Peso	4,210.220000	NA	4,219.520000	4,225.170000	4,241.120000	4,243.370000	4,254.990000	4,220.760000	4,216.530000
Czech Koruna	31.538300	31.624700	31.326800	31.356500	31.208700	31.365300	31.311200	31.215700	31.308300
Danish Krone	9.009900	9.032360	8.954800	8.958970	8.919250	8.954640	8.941020	8.911390	8.926980
Hungarian Forint	371.328000	371.124000	367.616000	367.482000	367.548000	368.836000	365.993000	366.663000	365.734000
Icelandic Krona	149.196000	148.324000	147.473000	147.296000	149.073000	146.402000	146.130000	145.642000	145.097000
Indian Rupee	89.871500	89.872300	90.164000	90.445400	90.271400	90.321200	90.157500	90.163200	90.204700
Indonesian Rupiah	18,588.800000	18,580.600000	18,676.600000	18,691.300000	18,683.200000	18,694.900000	18,721.500000	18,730.200000	18,755.400000
Iranian Rial	45,632.100000	NA	NA	45,858.700000	45,856.600000	45,854.100000	45,998.600000	NA	46,082.700000
Israeli New Sheqel	5.013260	4.985520	4.986310	5.038040	5.006030	5.005310	5.001300	5.003730	5.008770
