            name              |     location     | country
------------------------------+------------------+--------
Rouen-Les-Essarts             | Rouen            | France
Reims-Gueux                   | Reims            | France
Circuit de Nevers Magny-Cours | Magny Cours      | France
Le Mans                       | Le Mans          | France
Nivelles-Baulers              | Brussels         | Belgium
Dijon-Prenois                 | Dijon            | France
Charade Circuit               | Clermont-Ferrand | France
Brands Hatch                  | Kent             | UK
Zolder                        | Heusden-Zolder   | Belgium
Circuit de Spa-Francorchamps  | Spa              | Belgium
