driverid |   forename    |         surname         | races
---------+---------------+-------------------------+------
162      | Pierre-Henri  | Raphanel                | 17
213      | Beppe         | Gabbiani                | 17
149      | Claudio       | Langes                  | 14
142      | Pedro         | Chaves                  | 13
130      | Andrea        | Chiesa                  | 10
161      | Volker        | Weidler                 | 10
339      | Alex          | Soler-Roig              | 9
204      | Riccardo      | Paletti                 | 8
283      | Mike          | Wilds                   | 8
135      | Perry         | McCarthy                | 7
164      | Joachim       | Winkelhock              | 7
225      | Dave          | Kennedy                 | 7
257      | Boy           | Lunger                  | 7
134      | Enrico        | Bertaggia               | 6
245      | Tony          | Trimmer                 | 6
295      | Roelof        | Wunderink               | 6
316      | Leo           | Kinnunen                | 6
191      | Mike          | Thackwell               | 5
210      | Tommy         | Byrne                   | 5
241      | Lamberto      | Leoni                   | 5
247      | Michael       | Bleekemolen             | 5
260      | Conny         | Andersson               | 5
645      | Clemar        | Bucci                   | 5
143      | Michael       | Bartels                 | 4
215      | Miguel Ángel  | Guerra                  | 4
334      | Jackie        | Pretorius               | 4
508      | Lance         | Reventlow               | 4
747      | David         | Murray                  | 4
115      | Hideki        | Noda                    | 3
132      | Giovanna      | Amati                   | 3
198      | Jacques       | Villeneuve Sr.          | 3
234      | Gianfranco    | Brancatelli             | 3
242      | Divina        | Galica                  | 3
244      | Alberto       | Colombo                 | 3
285      | Otto          | Stuppacher              | 3
319      | José          | Dolhem                  | 3
343      | Bill          | Brack                   | 3
444      | Roberto       | Lippi                   | 3
464      | Tony          | Shelly                  | 3
561      | Ray           | Crawford                | 3
565      | Mike          | Magill                  | 3
610      | Les           | Leston                  | 3
666      | Tony          | Rolt                    | 3
722      | Piero         | Carini                  | 3
749      | Bill          | Aston                   | 3
756      | Paul          | Pietsch                 | 3
144      | Naoki         | Hattori                 | 2
150      | Gary          | Brabham                 | 2
171      | Franco        | Forini                  | 2
214      | Kevin         | Cogan                   | 2
220      | Giorgio       | Francia                 | 2
227      | Tiff          | Needell                 | 2
263      | Mikko         | Kozarowitzky            | 2
299      | Hiroshi       | Fushida                 | 2
310      | Paddy         | Driver                  | 2
315      | Gérard        | Larrousse               | 2
326      | Eppie         | Wietzes                 | 2
335      | Roger         | Williamson              | 2
354      | Chris         | Craft                   | 2
369      | Basil         | van Rooyen              | 2
371      | Al            | Pease                   | 2
377      | Jo            | Schlesser               | 2
398      | Vic           | Wilson                  | 2
442      | Kurt          | Kuhnke                  | 2
445      | Günther       | Seiffert                | 2
446      | Carlo         | Abate                   | 2
447      | Gaetano       | Starrabba               | 2
461      | Heinz         | Schiller                | 2
467      | Ernesto       | Prinoth                 | 2
487      | Massimo       | Natili                  | 2
491      | Alfonso       | Thiele                  | 2
540      | Mike          | Taylor                  | 2
553      | André         | Testut                  | 2
585      | Paul          | Emery                   | 2
601      | Dick          | Gibson                  | 2
631      | Keith         | Andrews                 | 2
649      | Pablo         | Birger                  | 2
681      | Georges       | Berger                  | 2
712      | Willi         | Heeks                   | 2
715      | Günther       | Bechem                  | 2
725      | George        | Abecassis               | 2
733      | Chet          | Miller                  | 2
765      | Henri         | Louveau                 | 2
776      | Joe           | Kelly                   | 2
789      | Eugène        | Martin                  | 2
28       | Markus        | Winkelhock              | 1
72       | Stéphane      | Sarrazin                | 1
80       | Vincenzo      | Sospiri                 | 1
124      | Marco         | Apicella                | 1
218      | Ricardo       | Londoño                 | 1
226      | Stephen       | South                   | 1
228      | Desiré        | Wilson                  | 1
248      | Carlo         | Franchi                 | 1
261      | Bernard       | de Dryver               | 1
264      | Andy          | Sutcliffe               | 1
266      | Brian         | McGuire                 | 1
268      | Hans          | Heyer                   | 1
279      | Emilio        | Zapico                  | 1
281      | Jac           | Nelleman                | 1
303      | Jo            | Vonlanthen              | 1
318      | Bertil        | Roos                    | 1
325      | Carlo         | Facetti                 | 1
336      | Graham        | McRae                   | 1
349      | Max           | Jean                    | 1
366      | Gus           | Hutchison               | 1
367      | Peter         | Westbury                | 1
372      | John          | Cordts                  | 1
378      | Robin         | Widdows                 | 1
381      | Bobby         | Unser                   | 1
384      | Luki          | Botha                   | 1
391      | Brian         | Hart                    | 1
393      | Tom           | Jones                   | 1
414      | Clive         | Puzey                   | 1
415      | Ray           | Reed                    | 1
416      | David         | Clapham                 | 1
417      | Alex          | Blignaut                | 1
419      | John          | Rhodes                  | 1
421      | Alan          | Rollinson               | 1
422      | Brian         | Gubby                   | 1
426      | Giorgio       | Bassi                   | 1
443      | Ernesto       | Brambilla               | 1
450      | Ernie         | de Vos                  | 1
451      | Frank         | Dochnal                 | 1
452      | Thomas        | Monarch                 | 1
457      | Ben           | Pon                     | 1
458      | Rob           | Slotemaker              | 1
470      | Timmy         | Mayer                   | 1
472      | Mike          | Harris                  | 1
473      | Gary          | Hocking                 | 1
474      | Syd           | van der Vyver           | 1
485      | Juan Manuel   | Bordeu                  | 1
488      | Peter         | Monteverdi              | 1
490      | Geoff         | Duke                    | 1
492      | Menato        | Boffa                   | 1
495      | Ken           | Miles                   | 1
503      | Ettore        | Chimeri                 | 1
504      | Antonio       | Creus                   | 1
546      | Arthur        | Owen                    | 1
550      | Alain         | de Changy               | 1
552      | Jean          | Lucienbonnet            | 1
568      | Azdrubal      | Fontes                  | 1
570      | Bill          | Moss                    | 1
571      | Dennis        | Taylor                  | 1
574      | George        | Constantine             | 1
575      | Bob           | Said                    | 1
576      | Phil          | Cade                    | 1
582      | Ken           | Kavanagh                | 1
584      | Bruce         | Kessler                 | 1
587      | Bernie        | Ecclestone              | 1
588      | Luigi         | Taramazzo               | 1
598      | Jerry         | Unser                   | 1
599      | Art           | Bisch                   | 1
600      | Christian     | Goethals                | 1
604      | François      | Picard                  | 1
605      | Tom           | Bridger                 | 1
614      | Don           | Edmunds                 | 1
616      | Elmer         | George                  | 1
