season |  pct  |                    bar                    
-------+-------+-------------------------------------------
1974   | 3.67  | ■■■
1975   | 14.88 | ■■■■■■■■■■■■■■
1976   | 11.06 | ■■■■■■■■■■■
1977   | 12.58 | ■■■■■■■■■■■■
1978   | 10.19 | ■■■■■■■■■■
1979   | 7.20  | ■■■■■■■
1980   | 7.83  | ■■■■■■■
1981   | 3.56  | ■■■
1982   | 0.86  | 
1983   | 0.00  | 
1984   | 5.58  | ■■■■■
1985   | 8.87  | ■■■■■■■■
1986   | 6.07  | ■■■■■■
1987   | 5.97  | ■■■■■
1988   | 0.61  | 
1989   | 0.81  | 
1990   | 1.29  | ■
