 nspname   |         typname        
-----------+------------------------
pg_catalog | aclitem
pg_catalog | any
pg_catalog | anyarray
pg_catalog | anycompatible
pg_catalog | anycompatiblearray
pg_catalog | anycompatiblemultirange
pg_catalog | anycompatiblenonarray
pg_catalog | anycompatiblerange
pg_catalog | anyelement
pg_catalog | anyenum
pg_catalog | anymultirange
pg_catalog | anynonarray
pg_catalog | anyrange
pg_catalog | bit
pg_catalog | bool
pg_catalog | box
pg_catalog | bpchar
pg_catalog | bytea
pg_catalog | char
pg_catalog | cid
pg_catalog | cidr
pg_catalog | circle
pg_catalog | cstring
pg_catalog | date
pg_catalog | datemultirange
pg_catalog | daterange
pg_catalog | event_trigger
pg_catalog | float4
pg_catalog | float8
pg_catalog | gtsvector
pg_catalog | inet
pg_catalog | int2
pg_catalog | int2vector
pg_catalog | int4
pg_catalog | int4multirange
pg_catalog | int4range
pg_catalog | int8
pg_catalog | int8multirange
pg_catalog | int8range
pg_catalog | internal
pg_catalog | interval
pg_catalog | json
pg_catalog | jsonb
pg_catalog | jsonpath
pg_catalog | line
pg_catalog | lseg
pg_catalog | macaddr
pg_catalog | macaddr8
pg_catalog | money
pg_catalog | name
pg_catalog | numeric
pg_catalog | nummultirange
pg_catalog | numrange
pg_catalog | oid
pg_catalog | oidvector
pg_catalog | path
pg_catalog | point
pg_catalog | polygon
pg_catalog | record
pg_catalog | refcursor
pg_catalog | text
pg_catalog | tid
pg_catalog | time
pg_catalog | timestamp
pg_catalog | timestamptz
pg_catalog | timetz
pg_catalog | trigger
pg_catalog | tsmultirange
pg_catalog | tsquery
pg_catalog | tsrange
pg_catalog | tstzmultirange
pg_catalog | tstzrange
pg_catalog | tsvector
pg_catalog | txid_snapshot
pg_catalog | unknown
pg_catalog | uuid
pg_catalog | varbit
pg_catalog | varchar
pg_catalog | void
pg_catalog | xid
pg_catalog | xid8
pg_catalog | xml
