     ip       |     inet_24      |     cidr_24    
--------------+------------------+----------------
4.35.221.243  | 4.35.221.243/24  | 4.35.221.0/24
4.152.207.126 | 4.152.207.126/24 | 4.152.207.0/24
4.152.207.238 | 4.152.207.238/24 | 4.152.207.0/24
4.249.111.162 | 4.249.111.162/24 | 4.249.111.0/24
12.1.223.132  | 12.1.223.132/24  | 12.1.223.0/24
12.8.192.60   | 12.8.192.60/24   | 12.8.192.0/24
12.33.114.7   | 12.33.114.7/24   | 12.33.114.0/24
12.47.120.130 | 12.47.120.130/24 | 12.47.120.0/24
12.172.137.4  | 12.172.137.4/24  | 12.172.137.0/24
18.194.1.122  | 18.194.1.122/24  | 18.194.1.0/24
