     ip       |     cidr_27      |     cidr_28     
--------------+------------------+-----------------
4.35.221.243  | 4.35.221.224/27  | 4.35.221.240/28
4.152.207.126 | 4.152.207.96/27  | 4.152.207.112/28
4.152.207.238 | 4.152.207.224/27 | 4.152.207.224/28
4.249.111.162 | 4.249.111.160/27 | 4.249.111.160/28
12.1.223.132  | 12.1.223.128/27  | 12.1.223.128/28
12.8.192.60   | 12.8.192.32/27   | 12.8.192.48/28
12.33.114.7   | 12.33.114.0/27   | 12.33.114.0/28
12.47.120.130 | 12.47.120.128/27 | 12.47.120.128/28
12.172.137.4  | 12.172.137.0/27  | 12.172.137.0/28
18.194.1.122  | 18.194.1.96/27   | 18.194.1.112/28
